gene_id	AgedFemale-Brain-NoStim-13_S10_counts	AgedFemale-Brain-NoStim-14_S1_counts	AgedFemale-Brain-NoStim-15_S6_counts	AgedFemale-Brain-NoStim-16_S12_counts	AgedFemale-Brain-NoStim-17_S8_counts	AgedFemale-Brain-PlusStim-23_S11_counts	AgedFemale-Brain-PlusStim-24_S9_counts	AgedFemale-Brain-PlusStim-25_S5_counts	AgedFemale-Brain-PlusStim-26_S1_counts	AgedFemale-Brain-PlusStim-27_S8_counts	AgedMale-Brain-NoStim-10_S9_counts	AgedMale-Brain-NoStim-11_S10_counts	AgedMale-Brain-NoStim-12_S11_counts	AgedMale-Brain-NoStim-7_S6_counts	AgedMale-Brain-NoStim-8_S7_counts	AgedMale-Brain-NoStim-9_S8_counts	AgedMale-Brain-PlusStim-19_S4_counts	AgedMale-Brain-PlusStim-20_S3_counts	AgedMale-Brain-PlusStim-21_S7_counts	AgedMale-Brain-PlusStim-22_S2_counts	AgedMaleSpleenNoStim30_S10_counts	AgedMaleSpleenNoStim31_S7_counts	AgedMaleSpleenNoStim32_S12_counts	AgedMaleSpleenNoStim33_S3_counts	AgedMaleSpleenNoStim34_S4_counts	AgedMaleSpleenPlusStim36_S2_counts	AgedMaleSpleenPlusStim37_S6_counts	AgedMaleSpleenPlusStim38_S5_counts	AgedMaleSpleenPlusStim39_S9_counts	AgedMaleSpleenPlusStim40_S11_counts	YoungMale-Brain-NoStim-2_S1_counts	YoungMale-Brain-NoStim-3_S2_counts	YoungMale-Brain-NoStim-4_S3_counts	YoungMale-Brain-NoStim-5_S4_counts	YoungMale-Brain-NoStim-6_S5_counts
ENSMUSG00000000001	1126	376	856	116	1229	162	68	2	122	234	268	2023	2851	1463	115	488	76	0	4	0	765	794	791	1242	826	831	1053	599	533	857	3746	1396	663	2083	1527
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	457	30	0	1222	0	0	1	0	0	0	585	26	1	2	0	1	0	0	0	0	23	71	52	55	101	94	17	29	22	33	2	1	1	78	1
ENSMUSG00000000031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000056	398	978	24	15	389	0	0	0	0	0	95	389	399	922	19	536	0	0	0	0	182	142	97	272	122	146	85	53	91	161	29	924	21	109	62
ENSMUSG00000000058	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000078	3025	3898	2055	6509	3073	696	428	1016	292	84	5382	4113	6710	10473	4483	5586	842	227	122	52	736	742	829	1248	724	3006	3025	2462	1959	2714	6032	5860	2884	6004	4974
ENSMUSG00000000085	15	10	0	0	24	0	0	0	0	0	217	205	5	2	191	58	0	0	0	0	37	58	43	21	28	9	16	19	27	49	1824	4	1	2	36
ENSMUSG00000000088	332	232	0	257	2	0	0	0	0	0	175	156	442	3937	5	23	0	113	0	0	73	192	140	231	153	19	68	95	83	99	45	3	3	15	178
ENSMUSG00000000093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1
ENSMUSG00000000094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	9	0	0	0	0	0
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000127	0	0	0	0	0	0	6	0	0	0	3	135	0	1533	0	4	0	0	0	0	101	43	32	53	88	162	43	41	10	26	1	0	1	3	3
ENSMUSG00000000131	755	1158	45	2982	528	17	0	0	15	2	502	2716	483	1384	1852	712	1542	0	8	0	875	832	980	1595	1008	591	376	365	398	576	412	1518	1049	691	260
ENSMUSG00000000134	41	698	35	156	113	0	258	0	94	13	284	2	82	47	1	0	18	0	0	0	106	93	80	288	105	209	193	103	75	196	34	1	1219	1	28
ENSMUSG00000000142	218	203	723	78	257	10	7	71	49	47	476	1370	621	973	695	729	228	0	0	105	317	313	296	379	340	175	226	127	76	428	62	304	67	151	301
ENSMUSG00000000148	36	13	50	6	185	0	0	27	33	0	83	33	573	166	1	1	0	0	0	0	127	89	86	81	84	29	8	22	10	10	1	3	0	81	263
ENSMUSG00000000149	41	26	37	0	23	0	8	0	0	0	2	198	129	89	47	106	0	0	0	0	60	50	34	54	52	12	19	15	8	22	1	145	75	142	16
ENSMUSG00000000154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	20	0	0	0	0
ENSMUSG00000000167	0	0	0	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	1	0	0	0	0	0	0	0	0
ENSMUSG00000000168	229	1095	29	214	85	14	24	0	0	0	119	2039	5	929	61	1	0	0	278	0	195	248	151	245	161	20	104	161	94	150	170	3	0	296	4
ENSMUSG00000000171	150	15	0	0	25	0	4	0	1	0	175	358	1148	1	236	1	0	0	0	0	50	73	114	181	136	93	37	41	32	48	2	0	36	107	88
ENSMUSG00000000182	0	22	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	881	2891	1531	2513	1973	137	65	7	32	23	5529	4354	3537	5754	1503	4700	101	24	0	0	1555	1336	1352	1837	1346	424	571	506	371	447	2592	2960	2226	2123	2644
ENSMUSG00000000194	229	486	8	265	750	90	38	0	49	0	32	93	728	451	4	526	0	0	0	0	256	240	184	535	352	278	92	82	48	31	274	2	383	34	3
ENSMUSG00000000197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ENSMUSG00000000202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000000223	0	0	2	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000244	112	69	0	29	283	0	0	0	72	0	1	2	3	1120	0	0	0	0	0	0	76	65	86	85	70	19	64	30	28	45	58	1	2	1	1
ENSMUSG00000000247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	1	1	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	0	0	0	0	0	0	0	0	0	0	1	0	0	113	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	98	0
ENSMUSG00000000263	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	0	0	0	0	0	0	2	4	0	0	62	0	0	0	0	1	0	0	0	0	5	16	34	6	29	0	10	1	15	0	0	0	0	0	0
ENSMUSG00000000275	745	1962	342	898	1410	0	11	1	133	1	1635	405	1872	905	731	2856	509	0	0	0	556	499	556	1019	591	172	178	192	130	220	12	6145	2027	1018	401
ENSMUSG00000000276	107	29	0	102	52	0	0	11	0	0	932	529	627	467	2	0	27	0	0	0	66	138	164	124	59	121	44	34	45	92	1	1	22	64	522
ENSMUSG00000000278	139	99	0	0	0	0	0	0	0	0	0	1	50	324	0	1	0	0	0	0	100	35	74	79	100	52	65	27	46	54	168	64	0	62	1
ENSMUSG00000000282	482	568	149	528	367	28	52	62	30	317	97	1304	15	437	226	67	64	1	32	0	336	188	247	402	350	259	242	287	210	443	164	146	105	219	3520
ENSMUSG00000000290	6016	8538	4096	6981	5376	124	150	96	305	80	15182	13921	12154	12733	6316	6994	748	0	509	142	7375	6155	6281	14390	6231	4046	3343	4947	3340	2422	5993	7633	8994	10210	9604
ENSMUSG00000000295	90	0	0	0	243	0	0	0	0	0	827	2	9	1967	2	4	0	0	0	0	173	195	128	273	120	75	59	130	48	59	5	21	3	1634	2
ENSMUSG00000000296	1	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000000303	1171	3275	333	2936	2395	259	114	933	21	0	2092	3014	3242	3022	1700	2252	327	22	0	101	84	143	71	322	191	108	60	55	51	34	1936	1840	571	343	346
ENSMUSG00000000305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	63	0
ENSMUSG00000000317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	5	0	4	0	5	0	0	0	0	0	0
ENSMUSG00000000318	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	1	0	0	0	0	0	4	0	0	0	0	0	0	3	0	979	0	287	1	1
ENSMUSG00000000320	2	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	4	25	2	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000000325	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	1	7	13	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000000326	96	8	6	0	47	1	0	0	0	0	24	0	59	62	0	509	0	0	1	0	49	24	42	72	16	16	3	14	23	10	0	0	36	3	2
ENSMUSG00000000339	250	235	65	0	42	0	0	0	3	0	39	858	290	178	1	1	0	0	0	0	127	252	105	405	196	131	134	138	93	19	0	2	655	0	1
ENSMUSG00000000340	69	45	0	443	114	0	16	9	18	54	158	420	60	284	1	1	119	0	5	30	120	128	100	353	224	50	66	78	34	62	37	85	166	154	427
ENSMUSG00000000346	575	655	214	179	351	107	33	71	11	0	1223	452	2145	1389	327	1995	43	0	8	4	557	642	657	1207	765	472	349	438	353	292	780	965	1296	765	654
ENSMUSG00000000355	145	0	7	0	0	0	0	0	0	0	197	0	0	141	0	0	0	0	0	0	109	111	205	246	121	221	71	78	115	83	2	0	0	0	0
ENSMUSG00000000359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	2	0	0	37	0	0	0	0	0	0	0	0	0
ENSMUSG00000000374	486	1377	0	671	376	28	51	0	321	38	893	2206	1155	415	438	462	246	0	0	0	410	415	423	512	286	210	306	186	121	192	466	36	1657	384	407
ENSMUSG00000000378	455	175	320	646	1108	0	65	1	0	0	390	1651	786	1489	1673	393	0	0	0	0	527	675	611	947	583	354	410	338	245	269	246	1188	252	333	1043
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	105	84	0	36	218	41	0	8	5	23	142	138	1345	2	411	376	9	0	0	0	110	89	83	99	142	72	127	56	56	133	4	2	2	3	134
ENSMUSG00000000385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000386	83	1077	0	12	400	0	0	0	0	0	5	3	640	76	109	174	3	0	0	0	163	101	127	367	126	175	71	180	69	64	80	1155	1	333	42
ENSMUSG00000000392	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	323	38	335	439	107	0	0	832	1	0	1501	2667	391	907	2	1525	0	0	0	0	340	289	369	493	435	226	189	204	163	118	6	2814	628	1159	123
ENSMUSG00000000402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000409	3717	4159	2590	2317	2277	712	364	132	79	303	2121	3283	3868	7475	4734	5517	806	209	0	76	3370	3261	2895	5829	3423	1979	1648	1779	1158	1338	1624	2872	3222	3552	3246
ENSMUSG00000000411	0	0	0	0	0	0	0	0	0	0	0	1	211	0	0	0	0	0	0	0	0	0	6	24	6	0	3	11	0	0	0	0	0	0	0
ENSMUSG00000000416	65	0	0	0	34	0	0	23	80	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	498	0	0	0	0
ENSMUSG00000000420	1330	3341	3	1195	1149	0	34	0	0	5	374	4237	1335	2092	11	2253	0	1	1	0	1261	818	1016	1860	1249	410	386	424	380	178	456	2982	425	1367	162
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	188	143	0	10	967	162	0	2	41	101	17	190	54	49	467	81	715	69	0	0	152	48	121	170	110	286	242	181	226	165	0	0	62	74	0
ENSMUSG00000000440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	8	26	35	10	0	0	0	2	1	0	0	0	0	0
ENSMUSG00000000441	567	539	0	118	1490	6	78	0	51	0	843	1846	2530	800	2088	3462	0	0	633	0	549	539	594	880	454	631	696	533	375	575	1685	545	767	500	96
ENSMUSG00000000486	2772	2654	1141	6553	4913	782	113	546	239	5	3947	3010	5150	5532	4163	3860	2	0	491	4	3014	2575	3139	4479	3243	2133	1629	1989	1730	1285	5785	4846	2123	2956	5688
ENSMUSG00000000489	33	44	0	0	13	0	0	95	0	0	2	93	0	65	1	0	0	55	4	0	46	51	67	125	103	26	34	23	29	12	72	1	0	98	14
ENSMUSG00000000530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	9	19	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000531	78	4	0	43	24	0	0	318	0	0	27	2	119	54	0	0	0	0	6	0	31	44	83	26	60	299	231	95	67	450	0	0	0	19	1
ENSMUSG00000000532	74	13	0	241	15	0	0	0	0	0	1	0	0	271	0	154	0	0	0	0	18	36	36	8	87	15	14	13	6	35	34	1	0	1	0
ENSMUSG00000000538	123	245	0	0	0	0	0	0	63	1	386	3	72	3	3	64	0	0	7	0	54	41	61	104	41	58	56	50	25	78	1	26	41	931	112
ENSMUSG00000000544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	0	0	0	0	0	0	0	0	0	0	1	0	61	0	0	0	0	0	0	0	16	7	24	10	0	10	8	2	2	3	13	0	117	64	0
ENSMUSG00000000555	2	0	0	35	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	6	1	0	1	0	363	0	1	0	2
ENSMUSG00000000560	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000000561	57	208	0	447	25	0	22	11	0	0	20	29	3	747	2	495	0	0	0	214	106	110	102	178	119	45	73	37	34	74	148	57	190	1	317
ENSMUSG00000000562	0	0	0	0	0	15	0	0	0	0	0	0	285	0	1	0	0	0	0	0	2	0	0	0	0	13	0	0	0	0	0	0	0	0	1
ENSMUSG00000000563	2174	1395	96	1767	2487	0	0	0	96	6	2618	569	2351	2660	861	918	0	1	202	0	1394	1478	1494	2760	1617	957	838	817	600	827	1819	191	2910	2418	2252
ENSMUSG00000000567	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000568	2063	6180	1643	2338	2620	1140	613	264	284	7	2735	1155	5978	2979	2454	5933	229	106	36	872	1468	1518	1731	3173	1737	1772	1440	1477	1200	1361	245	1737	1676	1768	1903
ENSMUSG00000000579	90	93	60	22	30	0	0	0	0	0	0	79	6	24	0	0	0	0	0	0	93	53	53	133	84	39	16	9	25	68	0	1	0	86	162
ENSMUSG00000000581	80	0	0	5	1	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	103	247	227	267	201	16	10	20	42	0	1	0	0	0	0
ENSMUSG00000000594	159	69	0	353	49	0	0	0	0	133	3	136	795	121	76	25	0	0	0	0	352	267	304	250	240	234	183	117	106	155	576	319	196	552	655
ENSMUSG00000000600	273	152	0	22	0	0	0	1099	0	57	29	395	227	1513	133	1758	0	0	0	0	294	331	307	319	435	373	367	222	187	218	208	7	1145	484	7
ENSMUSG00000000605	488	234	5	1848	170	0	3	0	0	0	227	419	938	1778	359	219	0	0	0	0	285	230	376	589	346	154	123	154	73	93	291	49	178	1276	87
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000627	15	71	0	143	34	0	0	232	0	0	1	0	88	1	226	400	0	0	0	0	128	78	115	160	86	13	31	35	24	71	0	1	0	0	0
ENSMUSG00000000628	299	70	0	0	47	237	0	275	0	1	217	531	1	196	1	23	0	0	0	0	33	37	64	61	29	139	307	65	48	595	10	54	29	418	24
ENSMUSG00000000631	618	876	651	441	1086	0	291	1584	596	142	499	1185	691	1817	461	533	179	0	17	3	955	992	1248	1895	1022	588	525	717	491	470	2639	623	439	514	2105
ENSMUSG00000000632	0	3	0	0	0	0	107	7	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	0
ENSMUSG00000000673	28	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	14	13	17	8	14	0	12	12	11	0	0	0	0	0
ENSMUSG00000000682	965	1697	452	739	1214	23	50	8	6	227	2882	1635	669	1557	1085	2383	0	0	0	1	1146	1186	1241	2507	1228	578	508	711	547	278	1882	2734	1325	2385	436
ENSMUSG00000000686	9	0	0	0	26	0	0	0	4	0	173	0	0	0	0	0	0	0	0	84	28	9	0	10	10	0	0	0	2	4	0	0	101	2	0
ENSMUSG00000000690	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	1	7	7	4	0	0	2	0	2	0	0	0	0	0	0
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ENSMUSG00000000708	914	2091	0	0	85	0	169	5	5	1	460	1068	797	2753	1059	350	0	13	0	0	562	517	423	864	785	414	602	253	304	290	46	131	43	2899	1280
ENSMUSG00000000711	120	58	0	22	240	0	0	9	0	0	501	431	1449	233	162	726	0	0	0	0	262	191	222	445	300	81	98	250	88	99	88	1314	6	81	128
ENSMUSG00000000724	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	3	3	0	2	2	5	0	1	0	0	0	0	0
ENSMUSG00000000730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000731	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000732	64	66	0	0	10	0	0	0	0	0	482	37	41	78	1	94	0	0	0	0	41	43	38	73	12	49	24	47	49	94	2	3244	10	96	11
ENSMUSG00000000738	473	719	97	1692	1049	0	0	4553	17	1	1831	750	4475	684	633	868	568	0	0	45	661	980	946	1565	886	1031	646	800	400	352	2712	3080	38	393	193
ENSMUSG00000000739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000740	7729	13731	3135	11990	9170	0	2499	5175	89	1833	7103	13554	16433	20522	16267	3365	9961	184	1410	0	9442	9971	11664	12817	11692	10066	9691	11052	7871	8814	16244	25284	7817	14313	31956
ENSMUSG00000000743	96	19	0	5	199	0	0	0	0	0	1	9	5	301	1	65	0	0	0	0	111	105	93	265	143	19	62	65	47	56	99	63	659	46	101
ENSMUSG00000000751	1623	2088	585	635	642	1580	425	27	107	166	1395	2139	1725	5294	1287	889	3	0	0	246	1491	1218	1149	1948	1367	567	430	793	572	316	2204	2541	1894	3384	1892
ENSMUSG00000000753	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	7	1	13	11	0	0	15	0	0	0	0	0
ENSMUSG00000000759	182	603	120	548	1165	0	0	33	35	0	167	103	2097	111	398	274	0	17	0	0	318	231	245	355	220	150	246	151	156	206	12	2179	338	114	1114
ENSMUSG00000000766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	4	0	0	0	0	0	0
ENSMUSG00000000776	301	750	45	843	332	1039	75	5	0	0	889	1018	120	331	267	223	0	0	0	0	155	113	132	293	142	117	86	151	77	69	345	1	67	327	142
ENSMUSG00000000782	796	1420	615	694	1517	0	23	107	45	47	2426	1626	3795	4486	782	879	133	11	0	82	2872	3471	3512	2732	3590	2271	1843	1268	758	1495	2051	8511	1789	1437	3449
ENSMUSG00000000787	7613	23243	12157	10434	12859	1684	1195	10800	3029	107	15548	5091	17050	25501	8316	13659	2515	5676	0	27	3781	3918	4618	7395	4242	11786	11451	8265	6747	18499	10524	9086	5286	8921	5233
ENSMUSG00000000791	170	157	571	169	216	16	0	0	0	0	307	383	427	1370	0	104	0	0	0	0	94	100	100	257	103	83	47	65	37	22	81	173	5	1	161
ENSMUSG00000000792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000000794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSMUSG00000000804	653	499	10	1140	821	337	0	43	0	0	218	1898	352	1544	60	1080	0	4	0	0	647	553	600	986	666	437	324	251	200	325	1947	1042	1436	172	53
ENSMUSG00000000805	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000811	0	0	0	1234	0	0	0	0	0	0	279	0	18	63	0	2	0	0	0	0	34	45	20	19	18	23	6	6	4	49	72	0	0	0	0
ENSMUSG00000000817	711	1714	635	542	2248	0	16	37	32	0	1226	2293	2116	1583	866	604	3	0	4	0	295	217	241	777	221	545	537	384	318	936	981	1691	449	1979	432
ENSMUSG00000000823	92	124	113	228	407	0	162	0	6	0	245	4	7	3	1	1058	0	148	0	0	146	128	162	300	173	70	64	109	63	42	762	145	383	531	63
ENSMUSG00000000826	635	251	195	809	288	256	0	18	107	1	216	205	194	177	75	978	34	0	0	1269	480	351	533	1215	460	511	632	635	514	531	1664	1782	87	1128	950
ENSMUSG00000000827	389	229	49	171	519	0	0	591	0	0	810	967	1758	182	324	26	0	0	132	0	199	310	297	583	218	223	182	160	119	222	203	29	89	41	108
ENSMUSG00000000838	1651	1248	105	1248	430	45	104	920	52	0	1466	1064	2449	1652	271	126	424	0	29	4	419	498	365	1307	500	719	1067	658	420	1188	1097	139	553	373	1013
ENSMUSG00000000861	0	0	0	490	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	18	29	17	21	6	83	40	34	29	89	522	2	0	46	28
ENSMUSG00000000869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
ENSMUSG00000000876	22	0	2	0	28	0	1	0	0	0	1	0	35	1	21	0	0	0	17	0	27	23	25	64	16	5	13	31	7	17	168	0	0	0	0
ENSMUSG00000000881	69	0	0	137	668	0	0	37	0	0	117	4	1	3	2	0	0	0	0	0	16	124	99	270	65	99	27	67	24	118	2	1	987	35	380
ENSMUSG00000000884	19	2	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	18	14	11	20	11	0	0	4	3	4	24	0	0	0	0
ENSMUSG00000000889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000902	414	753	9	1099	301	0	89	127	4	0	241	207	431	112	524	472	7	15	15	0	205	212	213	315	270	138	78	80	112	77	4	399	74	401	1255
